Follower Athlete ID,Follow Status,Created At
40927678,Accepted,"9 Apr 2019, 08:41:51"
32996442,Accepted,"13 Apr 2019, 12:48:24"
28466673,Accepted,"23 Apr 2019, 05:06:34"
26027044,Accepted,"23 Apr 2019, 10:12:22"
1832345,Accepted,"26 Apr 2019, 20:08:53"
11658225,Accepted,"27 Apr 2019, 09:23:45"
28616252,Accepted,"20 May 2019, 07:52:56"
12647124,Accepted,"22 May 2019, 19:30:19"
7238722,Accepted,"29 May 2019, 04:18:43"
12430332,Accepted,"5 Jun 2019, 08:05:51"
42948099,Accepted,"5 Jun 2019, 11:27:12"
24373760,Accepted,"10 Jun 2019, 05:38:03"
18446917,Accepted,"11 Jun 2019, 19:23:27"
5780583,Accepted,"4 Jul 2019, 19:59:39"
1683069,Accepted,"6 Jul 2019, 06:41:10"
13025882,Accepted,"13 Jul 2019, 08:39:14"
7386127,Accepted,"15 Jul 2019, 07:02:22"
13761972,Accepted,"15 Jul 2019, 12:07:53"
41949418,Accepted,"28 Jul 2019, 10:50:23"
16211126,Accepted,"6 Aug 2019, 09:18:04"
45368946,Accepted,"14 Aug 2019, 18:18:50"
3144846,Accepted,"15 Aug 2019, 11:02:15"
34317393,Accepted,"15 Aug 2019, 16:14:15"
33128091,Accepted,"19 Aug 2019, 05:44:42"
12102948,Accepted,"5 Sep 2019, 14:16:56"
7601800,Accepted,"7 Sep 2019, 05:39:35"
33621640,Accepted,"7 Sep 2019, 17:05:26"
41129496,Accepted,"8 Sep 2019, 11:31:33"
9010465,Accepted,"8 Sep 2019, 18:06:07"
27720970,Accepted,"15 Sep 2019, 07:32:54"
15765191,Accepted,"2 Oct 2019, 06:26:30"
47408530,Accepted,"14 Oct 2019, 17:25:09"
3467567,Accepted,"20 Oct 2019, 14:20:35"
13183155,Accepted,"22 Oct 2019, 13:07:14"
46776295,Accepted,"27 Oct 2019, 09:31:53"
36079590,Accepted,"30 Oct 2019, 13:18:31"
39852527,Accepted,"15 Nov 2019, 06:56:20"
35250755,Accepted,"26 Nov 2019, 19:33:14"
7551648,Accepted,"14 Jan 2020, 05:49:52"
21624494,Accepted,"14 Jan 2020, 20:52:06"
49981273,Accepted,"16 Jan 2020, 06:39:42"
29290717,Accepted,"18 Jan 2020, 12:52:49"
6720888,Accepted,"21 Jan 2020, 18:33:26"
21862883,Accepted,"28 Jan 2020, 08:07:44"
1327911,Accepted,"18 Feb 2020, 18:34:42"
7551374,Accepted,"1 Mar 2020, 20:36:13"
51777665,Accepted,"6 Mar 2020, 12:31:18"
9808700,Accepted,"9 Mar 2020, 21:05:38"
17137548,Accepted,"17 Mar 2020, 13:09:42"
3837382,Accepted,"25 Mar 2020, 18:53:42"
51107782,Accepted,"31 Mar 2020, 19:55:28"
27239329,Accepted,"6 Apr 2020, 14:25:09"
4372086,Accepted,"7 Apr 2020, 17:58:07"
