Following Athlete ID,Follow Status,Created At
33128091,Accepted,"19 Aug 2019, 05:09:43"
3144846,Accepted,"23 Aug 2019, 19:25:35"
19531253,Accepted,"24 Aug 2019, 07:24:44"
9010465,Accepted,"8 Sep 2019, 22:31:05"
13183155,Accepted,"22 Oct 2019, 13:09:06"
19287980,Accepted,"25 Oct 2019, 19:08:10"
36079590,Accepted,"30 Oct 2019, 11:51:23"
49981273,Accepted,"14 Jan 2020, 05:57:56"
29290717,Accepted,"19 Jan 2020, 07:45:29"
7551648,Accepted,"19 Jan 2020, 13:05:49"
43731086,Accepted,"26 Jan 2020, 13:38:36"
51777665,Accepted,"7 Mar 2020, 12:39:32"
17137548,Accepted,"17 Mar 2020, 14:34:10"
9808700,Accepted,"22 Mar 2020, 04:49:49"
46776295,Accepted,"3 Apr 2020, 16:41:37"
53516930,Accepted,"5 Apr 2020, 17:03:46"
27239329,Accepted,"6 Apr 2020, 15:57:35"
23660984,Accepted,"13 Apr 2020, 20:01:46"
23642079,Accepted,"19 Apr 2020, 10:13:35"
4265545,Accepted,"22 Apr 2020, 09:56:03"
54212815,Accepted,"2 May 2020, 08:02:58"
19190557,Accepted,"3 May 2020, 20:59:34"
57453139,Accepted,"7 May 2020, 17:23:48"
3837382,Accepted,"10 May 2020, 13:49:24"
14051830,Accepted,"13 May 2020, 09:00:58"
60333701,Accepted,"11 Jul 2020, 16:42:49"
17243105,Accepted,"14 Jul 2020, 12:42:27"
35924509,Accepted,"23 Jul 2020, 16:14:51"
62264396,Accepted,"30 Jul 2020, 16:41:02"
7551374,Accepted,"2 Aug 2020, 18:02:03"
3777125,Accepted,"2 Aug 2020, 18:02:13"
54643452,Accepted,"4 Sep 2020, 06:50:39"
56375669,Accepted,"16 Sep 2020, 14:00:52"
66254782,Accepted,"3 Oct 2020, 19:39:02"
69095298,Accepted,"8 Oct 2020, 18:45:06"
61018535,Accepted,"11 Oct 2020, 11:44:11"
53543258,Accepted,"17 Oct 2020, 15:20:34"
36129493,Accepted,"3 Nov 2020, 06:06:23"
53463453,Accepted,"14 Nov 2020, 12:23:15"
13581511,Accepted,"19 Nov 2020, 09:27:08"
36417732,Accepted,"31 Dec 2020, 04:46:08"
17576867,Accepted,"14 Jan 2021, 11:51:50"
2889803,Accepted,"7 Feb 2021, 08:41:42"
1679582,Accepted,"7 Feb 2021, 15:17:01"
29020097,Accepted,"7 Feb 2021, 15:54:13"
3523956,Accepted,"11 Feb 2021, 06:08:33"
2200464,Accepted,"11 Feb 2021, 07:08:43"
34350291,Accepted,"11 Feb 2021, 07:24:41"
11010,Accepted,"15 Feb 2021, 16:20:29"
1395505,Accepted,"20 Feb 2021, 19:48:09"
19458668,Accepted,"2 Mar 2021, 09:50:21"
181118,Accepted,"6 Mar 2021, 10:35:15"
18951765,Accepted,"6 Mar 2021, 11:21:54"
8383551,Accepted,"21 Mar 2021, 13:37:16"
18157611,Accepted,"22 Mar 2021, 09:18:53"
54756818,Accepted,"22 Mar 2021, 10:54:09"
81372173,Accepted,"22 Mar 2021, 15:53:38"
2885001,Accepted,"23 Mar 2021, 06:59:43"
30677706,Accepted,"23 Mar 2021, 11:57:13"
21160291,Accepted,"28 Mar 2021, 12:54:05"
12609257,Accepted,"28 Mar 2021, 14:32:04"
35635132,Accepted,"1 Apr 2021, 07:50:21"
12338290,Accepted,"5 Apr 2021, 11:10:17"
18050538,Accepted,"9 Apr 2021, 11:59:51"
41189,Pending,"9 Apr 2021, 12:00:30"
13540334,Accepted,"19 Apr 2021, 14:35:40"
19960262,Accepted,"23 Apr 2021, 05:32:52"
12122654,Accepted,"25 Apr 2021, 02:01:28"
2998853,Accepted,"27 Apr 2021, 19:47:56"
263309,Accepted,"1 May 2021, 12:04:35"
3891528,Accepted,"1 May 2021, 12:05:18"
13026836,Accepted,"5 May 2021, 17:34:26"
12122554,Accepted,"6 May 2021, 17:16:52"
6049681,Accepted,"13 May 2021, 07:55:19"
43638136,Accepted,"15 May 2021, 17:44:22"
3161210,Accepted,"16 May 2021, 19:19:23"
11119776,Accepted,"22 May 2021, 13:44:26"
51665275,Accepted,"22 May 2021, 13:44:27"
38358425,Accepted,"22 May 2021, 19:14:58"
26547261,Accepted,"23 May 2021, 11:13:43"
28778798,Accepted,"26 May 2021, 06:00:55"
66777606,Accepted,"26 May 2021, 16:25:20"
17804511,Accepted,"30 May 2021, 11:50:23"
50255725,Accepted,"6 Jun 2021, 05:24:58"
21806462,Accepted,"6 Jun 2021, 17:35:07"
16878236,Accepted,"23 Jun 2021, 11:23:31"
3747886,Accepted,"23 Jun 2021, 13:22:23"
37412859,Accepted,"23 Jun 2021, 13:22:57"
46926312,Accepted,"26 Jun 2021, 17:04:46"
29947942,Accepted,"26 Jun 2021, 17:05:02"
38366402,Accepted,"26 Jun 2021, 17:05:14"
87906807,Accepted,"28 Jun 2021, 13:30:27"
87907968,Accepted,"28 Jun 2021, 14:07:56"
58235782,Accepted,"4 Jul 2021, 13:14:45"
1903533,Accepted,"6 Jul 2021, 19:45:10"
23050875,Accepted,"11 Jul 2021, 19:47:42"
