hours,elevation,latitude,longitude,distance,power,power_zone,hr,hr_zone,cadence,cadence_zone,temperature
0.013055555555555555,251.4,47.984661,7.841678,0.32376362005831033,118,Zone 1,79,Zone 1,67,Zone 1,21
0.013333333333333334,251.4,47.984665,7.841776,0.33468224676363245,116,Zone 1,80,Zone 1,69,Zone 1,21
0.01361111111111111,251.2,47.984669,7.841866,0.34471127991545375,108,Zone 1,82,Zone 1,69,Zone 1,21
0.01388888888888889,251.2,47.984673,7.841958,0.35496256912366553,92,Zone 1,84,Zone 1,69,Zone 1,21
0.014166666666666666,251,47.984677,7.842053,0.36554766594906346,114,Zone 1,86,Zone 1,69,Zone 1,21
0.014444444444444446,250.8,47.984684,7.842147,0.37604019496797975,113,Zone 1,88,Zone 1,69,Zone 1,21
0.014722222222222222,250.8,47.984688,7.842242,0.3866248651039963,116,Zone 1,89,Zone 1,69,Zone 1,21
0.015000000000000001,250.8,47.984692,7.842339,0.39743206585034596,103,Zone 1,90,Zone 1,71,Zone 2,21
0.015277777777777777,250.8,47.984696,7.842438,0.40846181181831764,76,Zone 1,90,Zone 1,69,Zone 1,21
0.015555555555555555,250.8,47.9847,7.842529,0.4186019138307833,89,Zone 1,89,Zone 1,70,Zone 2,21
0.01583333333333333,250.8,47.984708,7.842619,0.4286592782763436,90,Zone 1,89,Zone 1,69,Zone 1,21
0.01611111111111111,250.8,47.984715,7.842703,0.438041963784515,101,Zone 1,88,Zone 1,70,Zone 2,21
0.016388888888888887,250.8,47.984723,7.842793,0.44809887915037394,94,Zone 1,86,Zone 1,71,Zone 2,21
0.016666666666666666,250.8,47.98473,7.842876,0.457370677781869,91,Zone 1,85,Zone 1,69,Zone 1,21
0.016944444444444443,250.8,47.984734,7.842961,0.46684390364409345,100,Zone 1,84,Zone 1,67,Zone 1,21
0.017222222222222226,250.8,47.984737,7.843053,0.47709078615941014,125,Zone 1,84,Zone 1,71,Zone 2,21
0.0175,250.8,47.984738,7.84314,0.4867761782466244,137,Zone 1,84,Zone 1,68,Zone 1,21
0.017777777777777778,250.8,47.984741,7.84323,0.4968002564535152,152,Zone 2,84,Zone 1,68,Zone 1,21
0.018055555555555554,250.8,47.984745,7.843323,0.5071619756618492,108,Zone 1,85,Zone 1,69,Zone 1,21
